Country,Population,CODE,2014.malaria.cases,2013.malaria.cases,2012.malaria.cases,2011.malaria.cases,2010.malaria.cases,2009.malaria.cases,2008.malaria.cases,2007.malaria.cases,2006.malaria.cases,2005.malaria.cases,2004.malaria.cases,2003.malaria.cases,2002.malaria.cases,2001.malaria.cases,2000.malaria.cases,2014.malaria.deaths,2013.malaria.deaths,2012.malaria.deaths,2011.malaria.deaths,2010.malaria.deaths,2009.malaria.deaths,2008.malaria.deaths,2007.malaria.deaths,2006.malaria.deaths,2005.malaria.deaths,2004.malaria.deaths,2003.malaria.deaths,2002.malaria.deaths,2001.malaria.deaths,2000.malaria.deaths
Cote d'Ivoire,,CIV,3712831,2506953,1140627,29976,62726,7388,3527,,,67,293,1585,7628,11936,15705,2069,3261,1534,1389,1023,18156,1249,797,,,,,,,
Cabo Verde,,CPV,26,22,1,7,47,65,35,18,80,68,45,68,76,107,144,2,0,1,1,1,2,2,2,8,2,4,4,2,0,
Cambodia,,KHM,25152,21309,40476,57423,49356,64595,42124,42518,78696,49436,59745,71265,46902,53601,62442,18,12,45,94,151,279,209,241,396,296,382,492,457,476,608
Cameroon,,CMR,,26651,,15212,,,,,,,,,,,,4398,4349,3209,3808,4536,4943,7673,1811,930,836,,,,,
Central African Republic,,CAF,295088,116300,46759,,,,,,,45973,46869,37896,43093,39164,33411,635,1026,1442,858,526,667,456,578,865,668,859,417,,535,439
Chad,,TCD,914032,754565,7710,181126,200448,,47757,48288,45155,31668,1360,45195,43933,38287,40078,1720,1881,1359,1220,886,221,1018,617,837,558,13,1021,98,957,712
China,,CHN,56,86,244,3367,4990,9287,15870,28112,33286,19304,25483,27870,24964,21237,8025,24,23,14,33,19,10,23,18,37,48,31,52,42,27,31
Colombia,,COL,40768,51696,60179,64309,117650,79347,80559,128462,120096,121629,142241,180956,204916,231233,144432,17,10,24,23,42,28,54,68,77,87,126,118,162,168,124
Comoros,,COM,2203,53156,49840,24856,36538,5982,,,20559,6086,12874,867398,1104310,879032,801784,0,15,17,19,53,,47,20,56,92,28,,,,
Congo,,COG,66323,43232,120319,37744,,92855,117291,103213,,67,293,1633,7677,11981,15751,271,2870,623,892,,116,143,113,,,,,,,
Costa Rica,,CRI,0,0,6,10,110,262,966,1223,2903,3541,1289,718,1021,1363,1879,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,,PRK,10535,14407,21850,16760,13520,14632,16611,4345,12983,11315,27090,16538,16578,143674,90582,0,,,0,0,0,0,0,,,,,,,
Democratic Republic of the Congo,,COD,9968983,6715223,4791598,4561981,2417780,1878705,1618218,740858,2050,2971,2684,2438,1735,1531,897,25502,30918,21601,23748,23476,21168,17940,14372,12970,15322,13613,989,2152,416,3856
Djibouti,,DJI,,939,25,,1010,2686,119,210,1796,413,122,5036,,,,,17,0,0,0,0,,1,29,,,,,,
Dominican Republic,,DOM,496,579,952,1616,3414,1643,1840,2711,3525,3837,2355,1529,1296,1038,1233,4,5,8,10,15,14,11,17,10,16,16,12,11,17,6
Ecuador,,ECU,241,368,544,1219,1888,4120,4891,8464,9863,17050,28730,52065,86757,108903,104528,,4,1,2,4,6,5,8,9,22,37,46,64,84,66
Egypt,,EGY,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,,4,2,2,2,0,0,,,,,,
El Salvador,,SLV,6,6,13,9,19,20,33,40,49,67,112,85,117,362,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,,GNQ,20417,13129,15169,22466,53813,14184,9503,6287,,,,,,,,,66,77,52,30,23,4,,,,,,,,
Eritrea,,ERI,30768,21317,21815,34848,35982,11759,8764,15565,6541,9073,4119,10346,6078,9716,,15,6,30,12,27,23,19,42,47,49,24,79,86,133,
Ethiopia,,ETH,2118815,2645454,1692578,1480306,1158197,1036316,458561,451816,447780,538942,578904,463797,427795,392377,,213,358,1621,936,1581,1121,1169,991,1357,1086,3327,2138,1607,1681,
Gabon,,GAB,31900,28982,19753,,13936,660,40701,45186,33458,70644,70075,58212,62976,53167,50810,159,273,134,74,182,197,156,216,238,353,466,692,1141,1693,2016
Gambia,,GMB,166229,240792,300363,261967,116353,50378,39164,,,,,,,,,170,262,289,440,151,240,403,424,150,426,153,192,259,275,
Georgia,,GEO,0,0,0,0,0,1,6,24,59,155,257,316,474,438,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ghana,,GHA,3415912,1639451,3755166,1041260,1071637,1104370,1094483,476484,472255,655093,475441,,,,,2200,2506,2855,3259,3859,3378,3889,4622,3125,2037,1575,2103,2376,1717,6108
Guatemala,,GTM,4931,6214,5346,6817,7384,7080,7198,15382,31093,39571,28955,31127,35540,35824,53311,1,1,0,0,0,0,0,,2,4,2,0,0,0,0
Guinea,,GIN,660207,211257,317200,95574,20936,35841,33405,44518,54227,50452,103069,107925,16561,6238,4800,1067,108,979,743,735,586,441,472,,490,528,586,440,517,626
Guinea-Bissau,,GNB,93431,54584,50381,71982,50391,11757,11299,14284,15120,14659,,,,,,357,418,370,472,296,369,487,370,507,565,565,1137,780,635,
Guyana,,GUY,12354,31479,31656,29506,22935,13673,11815,11656,21064,38984,28866,27627,21895,27122,24018,11,14,35,36,24,20,11,,20,33,38,44,28,30,29
Haiti,,HTI,17662,20586,25423,32969,84153,49535,36774,29825,32739,21778,10802,,,9837,16897,9,10,6,5,8,7,17,28,32,29,24,109,77,70,16
Honduras,,HND,3380,5428,6439,7465,9685,9313,8368,10512,11947,15943,17134,14063,17223,24149,35125,2,1,1,2,3,1,2,,0,1,0,0,0,0,0
India,,IND,1102205,881730,1067824,1310656,1599986,1563574,1532497,1508927,1785109,1816569,1915363,1869403,1841227,2085484,2031790,561,440,519,754,1018,1144,1055,1311,1708,963,949,1006,973,1015,892
Indonesia,,IDN,252027,343527,417819,422447,465764,418439,266277,333792,347597,315394,304936,223065,273793,267592,256993,64,45,252,388,432,900,669,,494,88,508,,,,833
Iran (Islamic Republic of),,IRN,358,479,756,1632,1847,4345,8349,13278,13127,14396,7602,17060,9122,8924,12294,0,2,,0,2,,3,3,1,1,1,5,2,2,4
Iraq,,IRQ,0,0,0,0,0,0,2,2,23,44,150,344,952,1265,1860,0,0,0,0,0,0,0,0,0,0,,,,,
Jamaica,,JAM,,,5,9,12,22,22,199,194,88,141,9,7,6,7,,,,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,,KEN,2808931,2335286,1453471,1002805,898531,,839903,,,,28328,39383,20049,,,472,360,785,713,26017,,,,40079,44328,25403,51842,47697,48286,48767
Kyrgyzstan,,KGZ,0,0,0,0,3,4,18,96,317,226,93,468,2743,28,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lao People's Democratic Republic,,LAO,48071,38131,46202,17835,20800,14674,19347,17458,18382,13615,16183,18894,21420,27076,40106,4,28,44,17,24,5,11,14,21,77,105,187,195,242,350
Liberia,,LBR,864204,1244220,1407455,1915762,922173,839581,606952,492272,761415,44875,,,,,,2288,1191,1725,,1422,1706,345,310,877,41,,,,,
Madagascar,,MDG,365239,387045,359420,224498,202450,215110,93234,48497,5689,6753,7638,6909,5272,8538,6946,551,641,552,398,427,348,355,428,441,699,715,817,575,742,591
Malawi,,MWI,2905310,1280892,1564984,304499,,,,,,,,,,,,4490,3723,5516,6674,8206,8915,8048,7486,6464,5070,3457,4767,5775,3355,
Malaysia,,MYS,3147,2921,3662,3954,5194,5955,6071,4048,5294,5569,6154,6338,11019,12780,12705,9,14,16,18,33,26,30,18,21,33,35,21,38,46,35
Mali,,MLI,2039853,1367218,886482,307035,227482,,,,,,,,,,,2309,1680,1894,2128,3006,2331,1227,1782,1914,1285,1012,1309,826,562,748
